target_type,target,horizon,pc_count,model,nobs,r2,adj_r2,alpha,l1_ratio
raw_sector_return,Communication Services,1,13,OLS,95,0.1875545543984769,0.0571620754747757,,
raw_sector_return,Communication Services,1,13,Ridge,95,0.09722330511060973,-0.047666781723489926,177.82794100389228,
raw_sector_return,Communication Services,1,13,Lasso,95,0.0,-0.16049382716049387,0.021544346900318822,
raw_sector_return,Communication Services,1,13,ElasticNet,95,0.0,-0.16049382716049387,0.03162277660168379,0.7
raw_sector_return,Energy,1,13,OLS,95,0.11679352763661643,-0.024955659285901932,,
raw_sector_return,Energy,1,13,Ridge,95,0.02072572299380282,-0.13644175356274735,1000.0,
raw_sector_return,Energy,1,13,Lasso,95,0.0,-0.16049382716049387,0.03162277660168379,
raw_sector_return,Energy,1,13,ElasticNet,95,0.0,-0.16049382716049387,0.03162277660168379,0.9
raw_sector_return,Financials,1,13,OLS,95,0.11720551085187292,-0.024477555307703014,,
raw_sector_return,Financials,1,13,Ridge,95,0.01568257336317791,-0.14229429757853418,1000.0,
raw_sector_return,Financials,1,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Financials,1,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Industrials,1,13,OLS,95,0.12472210709260156,-0.015754591769079784,,
raw_sector_return,Industrials,1,13,Ridge,95,0.017954370588689206,-0.13965789092176806,1000.0,
raw_sector_return,Industrials,1,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Industrials,1,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Technology,1,13,OLS,95,0.19142493424619056,0.06165362739681379,,
raw_sector_return,Technology,1,13,Ridge,95,0.021564594826595562,-0.13546824797901258,1000.0,
raw_sector_return,Technology,1,13,Lasso,95,0.0,-0.16049382716049387,0.01467799267622069,
raw_sector_return,Technology,1,13,ElasticNet,95,0.0,-0.16049382716049387,0.03162277660168379,0.5
raw_sector_return,Consumer Staples,1,13,OLS,95,0.09544090848486941,-0.04973524200521329,,
raw_sector_return,Consumer Staples,1,13,Ridge,95,0.010983452927587956,-0.1477475978371201,1000.0,
raw_sector_return,Consumer Staples,1,13,Lasso,95,0.0,-0.16049382716049387,0.01,
raw_sector_return,Consumer Staples,1,13,ElasticNet,95,0.0,-0.16049382716049387,0.1,0.1
raw_sector_return,Real Estate,1,13,OLS,95,0.08613294564180529,-0.06053707542802833,,
raw_sector_return,Real Estate,1,13,Ridge,95,0.008491078483043313,-0.1506399829949867,1000.0,
raw_sector_return,Real Estate,1,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Real Estate,1,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Utilities,1,13,OLS,95,0.047792397241248175,-0.10503104517682305,,
raw_sector_return,Utilities,1,13,Ridge,95,0.005923693637505667,-0.15361941726017858,1000.0,
raw_sector_return,Utilities,1,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Utilities,1,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Health Care,1,13,OLS,95,0.042796676961435964,-0.1108285477237656,,
raw_sector_return,Health Care,1,13,Ridge,95,0.006120029229519597,-0.1533915710175946,1000.0,
raw_sector_return,Health Care,1,13,Lasso,95,0.0,-0.16049382716049387,0.01467799267622069,
raw_sector_return,Health Care,1,13,ElasticNet,95,0.0,-0.16049382716049387,0.046415888336127774,0.3
raw_sector_return,Consumer Discretionary,1,13,OLS,95,0.11518213235063635,-0.02682567356839738,,
raw_sector_return,Consumer Discretionary,1,13,Ridge,95,0.0157054051897193,-0.14226780138477024,1000.0,
raw_sector_return,Consumer Discretionary,1,13,Lasso,95,0.0,-0.16049382716049387,0.01467799267622069,
raw_sector_return,Consumer Discretionary,1,13,ElasticNet,95,0.0,-0.16049382716049387,0.046415888336127774,0.3
raw_sector_return,Materials,2,5,OLS,95,0.03088591844532529,-0.023558692877970966,,
raw_sector_return,Materials,2,5,Ridge,95,0.004467441512349457,-0.051461353908305085,1000.0,
raw_sector_return,Materials,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Materials,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Communication Services,2,5,OLS,95,0.07387490936739505,0.021845409893653245,,
