target_type,target,pc_count,horizon,model,n_oos,start,end,oos_r2,msfe_model,msfe_benchmark,msfe_ratio,directional_accuracy
sector_excess_return,Materials_excess,5,1,ElasticNet,59,2021-06-01,2026-04-01,-0.017344486577965723,0.0014323830343857676,0.001407962645184095,1.0173444865779657,0.576271186440678
sector_excess_return,Materials_excess,10,1,OLS,59,2021-06-01,2026-04-01,-0.3031669392139855,0.001834810370852184,0.001407962645184095,1.3031669392139855,0.4067796610169492
sector_excess_return,Materials_excess,10,1,Ridge,59,2021-06-01,2026-04-01,-0.09846948830355662,0.001546604006405895,0.001407962645184095,1.0984694883035566,0.4406779661016949
sector_excess_return,Materials_excess,10,1,Lasso,59,2021-06-01,2026-04-01,-0.09937813920436822,0.0015478833529317503,0.001407962645184095,1.0993781392043682,0.4915254237288136
sector_excess_return,Materials_excess,10,1,ElasticNet,59,2021-06-01,2026-04-01,-0.07439530237207914,0.001512708451901158,0.001407962645184095,1.0743953023720791,0.5254237288135594
sector_excess_return,Materials_excess,13,1,OLS,59,2021-06-01,2026-04-01,-0.2613804442042711,0.0017759765468053342,0.001407962645184095,1.261380444204271,0.5084745762711864
sector_excess_return,Materials_excess,13,1,Ridge,59,2021-06-01,2026-04-01,-0.043954464249364555,0.00146984888893628,0.001407962645184095,1.0439544642493646,0.5254237288135594
sector_excess_return,Materials_excess,13,1,Lasso,59,2021-06-01,2026-04-01,-0.02572991982765882,0.00144418941116502,0.001407962645184095,1.0257299198276588,0.5423728813559322
sector_excess_return,Materials_excess,13,1,ElasticNet,59,2021-06-01,2026-04-01,0.024401707317696864,0.0013736059528020625,0.001407962645184095,0.9755982926823031,0.6101694915254238
sector_excess_return,Materials_excess,5,2,OLS,58,2021-06-01,2026-03-01,-0.17029053962854213,0.0016753244356414716,0.0014315457392086845,1.1702905396285421,0.41379310344827586
sector_excess_return,Materials_excess,5,2,Ridge,58,2021-06-01,2026-03-01,-0.010503290715280444,0.0014465816802798142,0.0014315457392086845,1.0105032907152804,0.5
sector_excess_return,Materials_excess,5,2,Lasso,58,2021-06-01,2026-03-01,-0.025800006090163752,0.0014684796279986164,0.0014315457392086845,1.0258000060901638,0.5
sector_excess_return,Materials_excess,5,2,ElasticNet,58,2021-06-01,2026-03-01,-0.026518631627310718,0.0014695083733244057,0.0014315457392086845,1.0265186316273107,0.4827586206896552
sector_excess_return,Materials_excess,10,2,OLS,58,2021-06-01,2026-03-01,-0.3801333033511687,0.0019757239499523724,0.0014315457392086845,1.3801333033511687,0.41379310344827586
sector_excess_return,Materials_excess,10,2,Ridge,58,2021-06-01,2026-03-01,-0.052328868045495414,0.0015064569072968268,0.0014315457392086845,1.0523288680454954,0.4827586206896552
sector_excess_return,Materials_excess,10,2,Lasso,58,2021-06-01,2026-03-01,-0.04998592948063818,0.001503102883577078,0.0014315457392086845,1.0499859294806382,0.46551724137931033
sector_excess_return,Materials_excess,10,2,ElasticNet,58,2021-06-01,2026-03-01,-0.03795870447358185,0.001485885360863722,0.0014315457392086845,1.0379587044735819,0.4827586206896552
sector_excess_return,Materials_excess,13,2,OLS,58,2021-06-01,2026-03-01,-0.5183513790281151,0.0021735894472693284,0.0014315457392086845,1.5183513790281151,0.4827586206896552
sector_excess_return,Materials_excess,13,2,Ridge,58,2021-06-01,2026-03-01,-0.0613545246991436,0.0015193775476229174,0.0014315457392086845,1.0613545246991436,0.4827586206896552
sector_excess_return,Materials_excess,13,2,Lasso,58,2021-06-01,2026-03-01,-0.054162923028138854,0.0015090824408927046,0.0014315457392086845,1.0541629230281389,0.46551724137931033
sector_excess_return,Materials_excess,13,2,ElasticNet,58,2021-06-01,2026-03-01,-0.05050542337920261,0.0015038465628541128,0.0014315457392086845,1.0505054233792026,0.4827586206896552
sector_excess_return,Communication Services_excess,5,1,OLS,34,2023-07-01,2026-04-01,0.05683862767887371,0.00044323333549967016,0.0004699443260795022,0.9431613723211263,0.5294117647058824
sector_excess_return,Communication Services_excess,5,1,Ridge,34,2023-07-01,2026-04-01,0.050755395827384975,0.0004460921157925034,0.0004699443260795022,0.949244604172615,0.6176470588235294
sector_excess_return,Communication Services_excess,5,1,Lasso,34,2023-07-01,2026-04-01,0.017151237925123297,0.0004618841991313509,0.0004699443260795022,0.9828487620748767,0.4117647058823529
