date,model,pc_count,horizon,n_holdings,holdings,strategy_return,spy_return,equal_weight_sector_return,strategy_excess_vs_spy,strategy_excess_vs_equal_weight
2022-05-01,ElasticNet,5,1,3,"Materials, Technology, Utilities",0.015994428614216145,0.00225712677897949,0.011115493540274059,0.013737301835236655,0.004878935073942086
2022-06-01,ElasticNet,5,1,3,"Consumer Staples, Health Care, Technology",-0.051944874865317625,-0.08640701297398934,-0.0920355554556921,0.034462138108671714,0.040090680590374475
2022-07-01,ElasticNet,5,1,3,"Consumer Staples, Technology, Utilities",0.08004276898536726,0.09680526146568647,0.08676394098671379,-0.016762492480319205,-0.0067211720013465315
2022-08-01,ElasticNet,5,1,3,"Utilities, Technology, Health Care",-0.03818589306382673,-0.04080214098808066,-0.029609265061107223,0.0026162479242539324,-0.008576628002719505
2022-09-01,ElasticNet,5,1,3,"Health Care, Consumer Staples, Technology",-0.07945361384902232,-0.09615881852104835,-0.09940485149712584,0.016705204672026033,0.019951237648103526
2022-10-01,ElasticNet,5,1,3,"Energy, Technology, Health Care",0.14764818805919044,0.08571730645544973,0.08932910682159777,0.06193088160374072,0.058319081237592676
2022-11-01,ElasticNet,5,1,3,"Technology, Materials, Health Care",0.07584478570242241,0.055591502201789655,0.06085893012651627,0.020253283500632754,0.014985855575906142
2022-12-01,ElasticNet,5,1,3,"Health Care, Energy, Technology",-0.04930203460015966,-0.06193588226697544,-0.05387170882790235,0.01263384766681578,0.0045696742277426886
2023-01-01,ElasticNet,5,1,3,"Materials, Technology, Financials",0.08940255446616534,0.06776843042023972,0.06686229346958848,0.021634124045925615,0.022540260996576855
2023-02-01,ElasticNet,5,1,3,"Technology, Materials, Financials",-0.017390246938128923,-0.025142733358399783,-0.03341568688474177,0.007752486420270859,0.01602543994661285
2023-03-01,ElasticNet,5,1,3,"Technology, Materials, Industrials",0.031306554468599014,0.033134720974111076,0.015419210385100725,-0.0018281665055120619,0.01588734408349829
2023-04-01,ElasticNet,5,1,3,"Technology, Materials, Industrials",-0.0012048320063996476,0.01985241384061731,0.02002429275157127,-0.02105724584701696,-0.021229124757970917
2023-05-01,ElasticNet,5,1,3,"Technology, Consumer Discretionary, Consumer Staples",0.017646143237085393,0.004616386135013029,-0.027061148355849787,0.013029757102072364,0.04470729159293518
2023-06-01,ElasticNet,5,1,3,"Technology, Consumer Discretionary, Health Care",0.07223075838677688,0.060858986035215556,0.06095831924308341,0.011371772351561324,0.011272439143693469
2023-07-01,ElasticNet,5,1,3,"Technology, Consumer Discretionary, Industrials",0.02872526562356296,0.03656942777723482,0.038538476798853166,-0.007844162153671858,-0.009813211175290205
2023-08-01,ElasticNet,5,1,3,"Technology, Consumer Discretionary, Health Care",-0.013176524717406046,-0.01625207631064063,-0.022691144644494853,0.0030755515932345823,0.009514619927088807
2023-09-01,ElasticNet,5,1,3,"Technology, Energy, Consumer Discretionary",-0.03574742680272025,-0.05078266740865656,-0.047410746005668455,0.015035240605936306,0.011663319202948205
