target_type,target,horizon,pc_count,model,pc,coef
raw_sector_return,Consumer Staples,1,5,ElasticNet,PC5,0.0
raw_sector_return,Real Estate,1,5,OLS,PC1,-0.0042305128707345215
raw_sector_return,Real Estate,1,5,OLS,PC2,0.0008120095138694878
raw_sector_return,Real Estate,1,5,OLS,PC3,0.0017435948757087232
raw_sector_return,Real Estate,1,5,OLS,PC4,-0.0038171973504529584
raw_sector_return,Real Estate,1,5,OLS,PC5,0.0014395296648681431
raw_sector_return,Real Estate,1,5,Ridge,PC1,-0.0004745284527695349
raw_sector_return,Real Estate,1,5,Ridge,PC2,0.00018541143779433338
raw_sector_return,Real Estate,1,5,Ridge,PC3,0.00024807674069705096
raw_sector_return,Real Estate,1,5,Ridge,PC4,-0.0003761764177294203
raw_sector_return,Real Estate,1,5,Ridge,PC5,7.964901913320185e-05
raw_sector_return,Real Estate,1,5,Lasso,PC1,-0.0
raw_sector_return,Real Estate,1,5,Lasso,PC2,0.0
raw_sector_return,Real Estate,1,5,Lasso,PC3,0.0
raw_sector_return,Real Estate,1,5,Lasso,PC4,-0.0
raw_sector_return,Real Estate,1,5,Lasso,PC5,0.0
raw_sector_return,Real Estate,1,5,ElasticNet,PC1,-0.0
raw_sector_return,Real Estate,1,5,ElasticNet,PC2,0.0
raw_sector_return,Real Estate,1,5,ElasticNet,PC3,0.0
raw_sector_return,Real Estate,1,5,ElasticNet,PC4,-0.0
raw_sector_return,Real Estate,1,5,ElasticNet,PC5,0.0
raw_sector_return,Utilities,1,5,OLS,PC1,-0.0021499376933945334
raw_sector_return,Utilities,1,5,OLS,PC2,0.000875047391656443
raw_sector_return,Utilities,1,5,OLS,PC3,0.0035753414671907484
raw_sector_return,Utilities,1,5,OLS,PC4,0.0015162433538653988
raw_sector_return,Utilities,1,5,OLS,PC5,9.164989755782126e-05
raw_sector_return,Utilities,1,5,Ridge,PC1,-0.00026463286161822197
raw_sector_return,Utilities,1,5,Ridge,PC2,6.861502108357208e-05
raw_sector_return,Utilities,1,5,Ridge,PC3,0.0003169916477143674
raw_sector_return,Utilities,1,5,Ridge,PC4,7.524064757022575e-05
raw_sector_return,Utilities,1,5,Ridge,PC5,4.556273066738779e-05
raw_sector_return,Utilities,1,5,Lasso,PC1,-0.0
raw_sector_return,Utilities,1,5,Lasso,PC2,0.0
raw_sector_return,Utilities,1,5,Lasso,PC3,0.0
raw_sector_return,Utilities,1,5,Lasso,PC4,0.0
raw_sector_return,Utilities,1,5,Lasso,PC5,0.0
raw_sector_return,Utilities,1,5,ElasticNet,PC1,-0.0
raw_sector_return,Utilities,1,5,ElasticNet,PC2,0.0
